Title,Start,End,Day of week,Duration
john doe,6/19/17 0:00,6/20/17 0:00,Mon,24:00:00
john doe,6/21/17 0:00,6/22/17 0:00,Wed,24:00:00
john doe,6/22/17 0:00,6/23/17 0:00,Thu,24:00:00
john doe,6/22/17 0:00,6/23/17 0:00,Thu,24:00:00
john doe,6/22/17 0:00,6/23/17 0:00,Thu,24:00:00
john doe,6/25/17 0:00,6/26/17 0:00,Sun,24:00:00
john doe,6/27/17 0:00,6/28/17 0:00,Tue,24:00:00
john doe,6/28/17 0:00,6/29/17 0:00,Wed,24:00:00
john doe,6/29/17 0:00,6/30/17 0:00,Thu,24:00:00
john doe,6/30/17 0:00,7/1/17 0:00,Fri,24:00:00
john doe,7/2/17 0:00,7/3/17 0:00,Sun,24:00:00
john doe,7/3/17 0:00,7/4/17 0:00,Mon,24:00:00
john doe,7/4/17 0:00,7/5/17 0:00,Tue,24:00:00
john doe,7/6/17 0:00,7/7/17 0:00,Thu,24:00:00
john doe,7/7/17 0:00,7/8/17 0:00,Fri,24:00:00
john doe,7/8/17 0:00,7/9/17 0:00,Sat,24:00:00
john doe,7/9/17 0:00,7/10/17 0:00,Sun,24:00:00
john doe,7/11/17 0:00,7/12/17 0:00,Tue,24:00:00
john doe,7/11/17 0:00,7/12/17 0:00,Tue,24:00:00
john doe,7/13/17 0:00,7/14/17 0:00,Thu,24:00:00
john doe,7/14/17 0:00,7/15/17 0:00,Fri,24:00:00
john doe,7/14/17 0:00,7/15/17 0:00,Fri,24:00:00
john doe,7/15/17 0:00,7/16/17 0:00,Sat,24:00:00
john doe,7/16/17 0:00,7/17/17 0:00,Sun,24:00:00
john doe,7/17/17 0:00,7/18/17 0:00,Mon,24:00:00
john doe,7/17/17 0:00,7/18/17 0:00,Mon,24:00:00
john doe,7/18/17 0:00,7/19/17 0:00,Tue,24:00:00
john doe,7/18/17 0:00,7/19/17 0:00,Tue,24:00:00
john doe,7/18/17 0:00,7/19/17 0:00,Tue,24:00:00
john doe,7/19/17 0:00,7/20/17 0:00,Wed,24:00:00
john doe,7/19/17 0:00,7/20/17 0:00,Wed,24:00:00
john doe,7/19/17 0:00,7/20/17 0:00,Wed,24:00:00
john doe,7/19/17 0:00,7/20/17 0:00,Wed,24:00:00
john doe,7/20/17 0:00,7/21/17 0:00,Thu,24:00:00
john doe,7/21/17 0:00,7/22/17 0:00,Fri,24:00:00
john doe,7/21/17 0:00,7/22/17 0:00,Fri,24:00:00
john doe,7/22/17 0:00,7/23/17 0:00,Sat,24:00:00
john doe,7/22/17 0:00,7/23/17 0:00,Sat,24:00:00
john doe,7/22/17 0:00,7/23/17 0:00,Sat,24:00:00
john doe,7/23/17 0:00,7/24/17 0:00,Sun,24:00:00
john doe,7/23/17 0:00,7/24/17 0:00,Sun,24:00:00
john doe,7/25/17 0:00,7/26/17 0:00,Tue,24:00:00
john doe,7/25/17 0:00,7/26/17 0:00,Tue,24:00:00
john doe,7/26/17 0:00,7/27/17 0:00,Wed,24:00:00
john doe,7/28/17 0:00,7/29/17 0:00,Fri,24:00:00
john doe,7/28/17 0:00,7/29/17 0:00,Fri,24:00:00
john doe,8/1/17 0:00,8/2/17 0:00,Tue,24:00:00
john doe,8/2/17 0:00,8/3/17 0:00,Wed,24:00:00
john doe,8/8/17 0:00,8/9/17 0:00,Tue,24:00:00
john doe,8/8/17 0:00,8/9/17 0:00,Tue,24:00:00
john doe,8/8/17 0:00,8/9/17 0:00,Tue,24:00:00
john doe,8/8/17 0:00,8/9/17 0:00,Tue,24:00:00
john doe,8/9/17 0:00,8/10/17 0:00,Wed,24:00:00
john doe,8/11/17 0:00,8/12/17 0:00,Fri,24:00:00
john doe,8/11/17 0:00,8/12/17 0:00,Fri,24:00:00
john doe,8/12/17 0:00,8/13/17 0:00,Sat,24:00:00
john doe,8/13/17 0:00,8/14/17 0:00,Sun,24:00:00
john doe,8/13/17 0:00,8/14/17 0:00,Sun,24:00:00
john doe,8/14/17 0:00,8/15/17 0:00,Mon,24:00:00
john doe,8/17/17 0:00,8/18/17 0:00,Thu,24:00:00
john doe,8/17/17 0:00,8/18/17 0:00,Thu,24:00:00
john doe,8/20/17 0:00,8/21/17 0:00,Sun,24:00:00
john doe,8/20/17 0:00,8/21/17 0:00,Sun,24:00:00
john doe,8/21/17 0:00,8/22/17 0:00,Mon,24:00:00
john doe,8/22/17 0:00,8/23/17 0:00,Tue,24:00:00
john doe,8/23/17 0:00,8/24/17 0:00,Wed,24:00:00
john doe,8/23/17 0:00,8/24/17 0:00,Wed,24:00:00
john doe,8/23/17 0:00,8/24/17 0:00,Wed,24:00:00
john doe,8/24/17 0:00,8/25/17 0:00,Thu,24:00:00
john doe,8/28/17 0:00,8/29/17 0:00,Mon,24:00:00
john doe,8/28/17 0:00,8/29/17 0:00,Mon,24:00:00
john doe,8/29/17 0:00,8/30/17 0:00,Tue,24:00:00
john doe,8/30/17 0:00,8/31/17 0:00,Wed,24:00:00
john doe,8/31/17 0:00,9/1/17 0:00,Thu,24:00:00
john doe,9/5/17 0:00,9/6/17 0:00,Tue,24:00:00
john doe,9/6/17 0:00,9/7/17 0:00,Wed,24:00:00
john doe,9/7/17 0:00,9/8/17 0:00,Thu,24:00:00
john doe,9/8/17 0:00,9/9/17 0:00,Fri,24:00:00
